ROC,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE,iFscore,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE
,0.5497,0.7195,0.6115,0.6564,0.7303,0.4114,0.669,0.5681,0.5689,0.9486,0.6621,0.5613,,105404.0781,135.32,,645.2657,62809130.1,,617.7682,2483.6237,600.3933,3127.7921,118.8408,287.7036
,0.5187,0.7133,0.6166,0.6743,0.7247,0.4151,0.7101,0.5783,0.5538,0.934,0.648,0.5207,,105379.0907,135.0366,,645.2683,62809129.2,,617.7676,2477.8483,566.9293,3127.7897,118.8548,287.7037
,0.4908,0.7107,0.6255,0.6889,0.7267,0.4225,0.6848,0.5573,0.5703,0.9656,0.6165,0.5633,,105424.4294,135.0861,,645.2706,62809127.86,,617.7665,2474.8814,494.2843,3127.7799,118.8276,287.7035
,0.4799,0.7206,0.6311,0.691,0.7375,0.4284,0.7178,0.5762,0.5481,0.9672,0.5812,0.5525,,105433.5136,134.8633,,645.2651,62809126.72,,617.7671,2475.9064,465.8133,3127.773,118.8293,287.7054
,0.4913,0.7389,0.6383,0.6854,0.7382,0.435,0.6783,0.5564,0.5371,0.9539,0.6579,0.555,,105427.1456,134.6605,,645.2736,62809125.97,,617.766,2480.0796,440.207,3127.769,118.8173,287.7039
,0.508,0.7368,0.645,0.6858,0.7542,0.4417,0.6603,0.5726,0.5242,0.9342,0.7033,0.5625,,105407.0098,134.1927,,645.2735,62809125.28,,617.7651,2485.1198,443.4275,3127.7606,118.8338,287.7078
,0.5131,0.7341,0.6484,0.705,0.7454,0.4489,0.6455,0.563,0.5379,0.9301,0.6976,0.5694,,105373.1785,133.5461,,645.2723,62809123.85,,617.765,2490.3817,409.2156,3127.7492,118.8489,287.7025
,0.5197,0.7391,0.6503,0.7113,0.7506,0.4532,0.6498,0.5547,0.5677,0.9364,0.6964,0.5731,,105333.5634,133.6322,,645.2704,62809124.1,,617.7644,2494.1206,396.6173,3127.7399,118.8671,287.7071
