ROC,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE,iFscore,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE
,0.534,0.6845,0.5369,0.6271,0.5372,0.5104,0.5102,0.4952,0.5367,0.5744,0.6009,0.5298,,105958.7485,136.0868,,635.5945,62809197.64,,616.2482,2515.2268,644.7623,3082.7274,118.3365,286.8409
,0.5627,0.7366,0.5426,0.6444,0.5422,0.4992,0.5197,0.4948,0.5694,0.5945,0.5888,0.561,,106111.4872,133.6058,,631.9061,62809199.04,,616.7645,2521.7902,647.8553,3075.9536,117.7793,286.6427
,0.6067,0.7564,0.5572,0.6823,0.5205,0.482,0.5204,0.4848,0.6215,0.8535,0.6073,0.584,,106119.8898,130.309,,627.3428,62809211.46,,616.6166,2522.243,650.0558,3071.5007,117.3563,285.8887
,0.6126,0.7595,0.5643,0.6936,0.5175,0.4701,0.5132,0.4806,0.6494,0.9243,0.604,0.601,,106130.033,129.3828,,621.6444,62809225.29,,616.4105,2516.5226,650.3384,3070.9233,117.1812,285.4436
,0.6164,0.7583,0.5706,0.6994,0.5176,0.4595,0.507,0.5056,0.6552,0.9486,0.5963,0.6056,,106174.4622,128.8921,,620.9403,62809204.78,,616.2281,2516.738,650.3892,3066.8896,117.1812,284.5096
,0.6207,0.7609,0.578,0.7028,0.5468,0.4515,0.4986,0.5153,0.658,0.9581,0.6272,0.6059,,106172.3115,128.7534,,619.1088,62809178.04,,616.2105,2510.9442,650.3913,3067.3374,117.0886,283.5226
,0.6276,0.7597,0.5904,0.7074,0.5662,0.4451,0.4973,0.5301,0.68,0.9608,0.6596,0.6086,,106147.8032,128.6118,,616.0427,62809167.64,,615.8728,2514.5621,650.3757,3068.3534,117.0976,282.3695
,0.6312,0.7612,0.5996,0.7092,0.5728,0.4404,0.4948,0.5346,0.6984,0.9619,0.6801,0.6133,,106175.7548,128.4223,,611.4993,62809168.66,,615.4847,2507.1304,650.3571,3068.8704,116.9935,281.7736
