ROC,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE,iFscore,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE
,0.5566,0.7157,0.537,0.6336,0.5412,0.4914,0.5099,0.4694,0.5783,0.5974,0.5699,0.5654,,105428.9636,134.5324,,645.2724,62809139.57,,617.7895,2495.8503,650.425,3127.8134,118.7614,287.6949
,0.5846,0.7536,0.5489,0.687,0.5464,0.4711,0.529,0.4921,0.5613,0.7353,0.5888,0.5983,,105414.882,130.7206,,645.2714,62809138.4,,617.7881,2494.3464,650.4246,3127.8124,118.7294,287.7007
,0.6174,0.7609,0.5726,0.7057,0.5341,0.4534,0.5182,0.4858,0.6395,0.9524,0.582,0.6132,,105444.2164,129.1728,,645.2697,62809138.56,,617.7875,2492.2464,650.425,3127.7995,118.6842,287.6855
,0.6155,0.7609,0.5882,0.7096,0.5311,0.4444,0.5112,0.5131,0.6565,0.9603,0.6011,0.6145,,105458.6013,128.9345,,645.2738,62809139.53,,617.7872,2486.6874,650.4248,3127.7939,118.6491,287.6716
,0.6178,0.7606,0.61,0.7154,0.5712,0.4345,0.4944,0.5305,0.628,0.9631,0.6597,0.6127,,105454.3741,128.622,,645.2624,62809138.72,,617.7865,2488.3187,650.4244,3127.7867,118.6318,287.6607
,0.6249,0.7604,0.6235,0.7078,0.5675,0.4275,0.4848,0.5362,0.6817,0.9651,0.6656,0.6138,,105447.6543,128.3969,,645.2594,62809135.99,,617.7857,2483.9626,650.4247,3127.7801,118.6019,287.6501
,0.6292,0.7615,0.6381,0.6977,0.5797,0.4231,0.4874,0.5493,0.7331,0.9653,0.6623,0.6164,,105447.6339,128.0628,,645.2289,62809134.11,,617.7846,2480.5799,650.4249,3127.7521,118.9544,287.6379
,0.6347,0.7601,0.6477,0.6868,0.5941,0.4196,0.4896,0.5571,0.7401,0.9642,0.6531,0.6161,,105448.6927,127.7546,,645.2313,62809132.66,,617.7851,2476.3509,650.4249,3127.7344,118.5831,287.6321
