ROC,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE,iFscore,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE
,0.4948,0.5013,0.4922,0.4967,0.5014,0.508,0.4011,0.507,0.5167,0.5638,0.5085,0.4919,,105480.493,141.2629,,645.2753,62809144.96,,617.7916,2500.3901,650.4238,3127.8194,118.9349,287.7056
,0.498,0.5397,0.4922,0.5392,0.5041,0.5089,0.451,0.5205,0.5184,0.5137,0.5353,0.4519,,105489.8265,140.5104,,645.2749,62809144.78,,617.7913,2502.8256,650.4261,3127.8235,118.8712,287.7116
,0.5165,0.5987,0.4963,0.5859,0.5168,0.4915,0.4781,0.5111,0.5027,0.4587,0.5177,0.4675,,105479.3129,137.9368,,645.2721,62809142.67,,617.7912,2502.4188,650.4266,3127.8222,118.8956,287.7016
,0.5277,0.644,0.5062,0.5978,0.5204,0.4829,0.5213,0.4871,0.5222,0.5856,0.5845,0.4841,,105481.8923,137.6046,,645.2712,62809142.72,,617.7911,2502.554,650.4266,3127.8158,118.9305,287.6944
,0.5469,0.6764,0.5076,0.622,0.4778,0.4744,0.4346,0.5115,0.5278,0.7096,0.4927,0.4954,,105487.5436,137.9176,,645.2714,62809140.32,,617.7901,2504.6776,650.4266,3127.7993,118.9151,287.6841
,0.5512,0.6958,0.5124,0.6374,0.4524,0.4695,0.4759,0.4884,0.5648,0.7888,0.4072,0.4511,,105495.9437,135.4005,,645.2579,62809138.3,,617.7909,2499.7088,650.4265,3127.782,118.9105,287.6781
,0.5822,0.7108,0.5114,0.6371,0.4254,0.4658,0.4988,0.5066,0.5787,0.8575,0.4323,0.4675,,105496.6346,133.8564,,645.4538,62809136.03,,617.79,2498.4853,650.4265,3127.7718,118.9039,287.6807
,0.5916,0.7164,0.5107,0.6465,0.4589,0.4571,0.5022,0.5235,0.5851,0.903,0.4951,0.4739,,105490.1761,132.8544,,645.2608,62809134.77,,617.7905,2504.6862,650.4264,3127.7645,118.9004,287.6755
