ROC,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE,iFscore,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE
,0.6219,0.7608,0.7158,0.7542,0.7468,0.3772,0.7364,0.5453,0.711,0.9861,0.6429,0.5881,,105275.5966,127.9662,,645.2718,62809127.56,,617.7587,2460.7236,644.837,3127.7292,118.6184,287.6839
,0.6123,0.7658,0.7194,0.7541,0.747,0.3782,0.7377,0.5515,0.698,0.9914,0.6438,0.6027,,105205.4716,127.7892,,645.2735,62809126.33,,617.759,2454.1594,648.1868,3127.7132,118.5861,287.6574
,0.6123,0.7654,0.7213,0.7453,0.7553,0.38,0.7392,0.5541,0.7035,0.9895,0.6644,0.6042,,105140.0463,127.646,,645.2691,62809124.04,,617.7586,2450.2962,649.1104,3127.6943,118.5934,287.641
,0.6144,0.7643,0.7214,0.7321,0.7514,0.3811,0.7398,0.5546,0.6939,0.9854,0.6611,0.6033,,105107.5848,127.5565,,645.2642,62809121.74,,617.7587,2446.2411,649.4021,3127.6814,118.5889,287.6189
,0.6139,0.7614,0.7215,0.7142,0.7635,0.3826,0.7454,0.5559,0.6895,0.9813,0.6595,0.6043,,105079.0308,127.4432,,645.2531,62809121.03,,617.7585,2443.304,649.5457,3127.6644,118.5713,287.6079
,0.6138,0.7631,0.7213,0.6981,0.7733,0.384,0.7458,0.5599,0.6901,0.9791,0.661,0.6105,,105059.7656,127.3998,,645.2453,62809120.83,,617.7587,2440.442,649.4804,3127.6518,118.553,287.6029
,0.6109,0.7628,0.7209,0.6773,0.775,0.3855,0.7462,0.5613,0.6913,0.9766,0.6595,0.6115,,105038.5573,127.3521,,645.2505,62809120.56,,617.7581,2439.0672,649.5934,3127.6377,118.5678,287.5893
,0.6095,0.7618,0.7206,0.6605,0.774,0.3866,0.7483,0.5645,0.69,0.9742,0.6537,0.6086,,105019.4665,127.3901,,645.2549,62809120.41,,617.7582,2437.7788,649.6444,3127.6169,118.5814,287.5853
