ROC,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE,iFscore,ADULT,ARRHYTHMIA,BANK ,COMMUNITIES,COMPAS,CREDITCARD,DRUG,GERMAN,INTERNETADS,PENDIGITS,ST-MAT,WIKI4HE
,0.6204,0.7607,7142,0.7502,0.748,0.3774,0.7291,0.5463,0.7083,0.9858,0.6494,0.5894,,105285.1388,128.1036,,645.2727,62809127.69,,617.7591,2461.4948,650.3043,3127.7314,118.585,287.652
,0.6126,0.7639,0.7184,0.7552,0.7479,0.3777,0.7349,0.5513,0.7134,0.9912,0.6488,0.5997,,105212.2097,127.9062,,645.2752,62809126.53,,617.7591,2455.0718,650.4126,3127.7166,118.5642,287.6383
,0.6123,0.7654,0.7208,0.7535,0.7545,0.3791,0.7381,0.5528,0.7239,0.9911,0.6596,0.6034,,105144.793,127.7534,,645.2724,62809124.32,,617.7588,2450.7699,650.419,3127.6978,118.5688,287.6224
,0.6136,0.7647,0.7213,0.7448,0.7523,0.38,0.7391,0.5536,0.7102,0.989,0.6632,0.6033,,105112.0696,127.6889,,645.265,62809122.01,,617.7583,2447.0158,650.4202,3127.6885,118.5711,287.6143
,0.614,0.7638,0.7216,0.7316,0.761,0.3813,0.7426,0.5547,0.7022,0.986,0.6636,0.6037,,105084.0665,127.5793,,645.2624,62809121.12,,617.7585,2443.7831,650.4243,3127.6737,118.5721,287.6043
,0.614,0.7643,0.7216,0.7193,0.763,0.3824,0.7437,0.5583,0.7,0.9829,0.6617,0.6082,,105066.5462,127.5134,,645.2536,62809120.82,,617.7587,2441.3531,650.4251,3127.6624,118.5634,287.5982
,0.612,0.7637,0.7213,0.701,0.7719,0.3836,0.7444,0.56,0.6982,0.9808,0.6628,0.6095,,105047.12,127.4458,,645.2509,62809120.59,,617.7582,2439.6111,650.4249,3127.6483,118.5675,287.5971
,0.6109,0.7638,0.7211,0.6861,0.7712,0.3846,0.7465,0.5633,0.6964,0.9793,0.658,0.6088,,105031.3863,127.4149,,645.2512,62809120.46,,617.7584,2437.7964,650.4248,3127.6364,118.5752,287.5877
